Movie_Name,Genres,Cast,Original_Language,Vote_Average,Budget_USD
The Killer's Game,"['Action', 'Comedy', 'Thriller']","['Dave Bautista', 'Dmitrij Kalacsov', 'Mia Rouba M.Kiss', 'Iván Orsányi', 'Aaron Maté', 'Gergö Hódur', 'Sofia Boutella', 'Jozsef Fodor', 'István Draco Markolt', 'Raffaello Degruttola', 'Ben Kingsley', 'Antonia Desplat', 'Domonkos Pardanyi', 'Tamás Hagyó', 'Gyula Tóth', 'Alex Kingston', 'Jesus Gomez Camacho', 'Cristina Galera Gonzalez']",['English'],5.7,$30.0M
Dune: Prophecy,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Emily Watson', 'Olivia Williams', 'Chloe Lea', 'Jade Anouka', 'Faoileann Cunningham', 'Aoife Hinds', 'Barbara Marten', 'Travis Fimmel', 'Jodhi May', 'Sarah-Sofie Boussnina', 'Chris Mason', 'Shalom Brune-Franklin', 'Mark Strong', 'Edward Davis', 'Josh Heuston', 'Jessica Barden', 'Camilla Beeput', 'Mark Addy']",['English'],7.3,$0
The Sand Castle,"['Drama', 'Fantasy', 'Mystery', 'Thriller']","['Nadine Labaki', 'Ziad Bakri', 'Riman Al Rafeea', 'Zain Al Rafeea']",['Arabic'],4.7,$0
Dune: Part Two,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Souheila Yacoub', 'Roger Yuan', 'Babs Olusanmokun', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison']",['English'],8.5,$190.0M
The Girl with the Needle,"['Drama', 'History']","['Vic Carmen Sonne', 'Trine Dyrholm', 'Besir Zeciri', 'Ava Knox Martin', 'Joachim Fjelstrup', 'Tessa Hoder', 'Ari Alexander', 'Per Thiim Thim', 'Søren Sætter-Lassen', 'Dan Jakobsen', 'Anna Tulestedt', 'Thomas Kirk', 'Benedikte Hansen', 'Peter Secher Schmidt', 'Agnieszka Przyborowska-Mitrosz', 'Cordelia Majgaard', 'Tommy Wurtz Petersen', 'Liv Vilde Christensen']",['Danish'],7.5,$0
Nickel Boys,['Drama'],"['Ethan Herisse', 'Brandon Wilson', 'Aunjanue Ellis-Taylor', 'Ethan Cole Sharp', 'Sam Malone', 'Najah Bradley', 'Jase Stidwell', 'Legacy Jones', 'Jimmie Fails', ""Ky'druis Follins"", 'Gabrielle Simone Johnson', 'Peter Gabb', 'Bill Martin Williams', 'Ellison Booker', 'Taraja Ramsess', 'Zachary Van Zandt', 'Zach Primo', 'Sean Papajohn']",['English'],7.3,$20.0M
Shōgun,"['Adventure', 'Drama', 'History', 'War']","['Cosmo Jarvis', 'Anna Sawai', 'Tadanobu Asano', 'Hiroyuki Sanada', 'Yûki Kedôin', 'Akiko Kobayashi', 'Eushin Lee', 'Takehiro Hira', 'Yuki Kura', 'Saeko Kimura', 'Hiroto Kanai', 'Moeka Hoshi', 'Shinnosuke Abe', 'Hiromoto Ida', 'Yutaro Ryan Oka', 'Jodai Suzuki', 'Kengo Hashimoto', 'Tommy Bastow']","['Japanese', 'English']",8.6,$0
Kraven the Hunter,"['Action', 'Thriller']","['Aaron Taylor-Johnson', 'Ariana DeBose', 'Fred Hechinger', 'Alessandro Nivola', 'Christopher Abbott', 'Russell Crowe', 'Yuri Kolokolnikov', 'Levi Miller', 'Tom Reed', 'Billy Barratt', 'Diaana Babnicova', 'Murat Seven', 'Greg Kolpakchi', 'Mark Arden', 'Jack Brady', 'Alex Batareanu', 'Will Bowden', 'Damola Adelaja']","['English', 'Russian', 'Turkish']",5.4,$110.0M
Skeleton Crew,"['Action', 'Adventure', 'Sci-Fi']","['Jude Law', 'Ryan Kiera Armstrong', 'Kyriana Kratter', 'Robert Timothy Smith', 'Ravi Cabot-Conyers', 'Nick Frost', 'Jaleel White', 'Dominic Burgess', 'Tunde Adebimpe', 'Fred Tatasciore', 'Kerry Condon', 'Geneva Carr', 'Marti Matulis', 'Mike Estes', 'Dale Soules', 'Sisa Grey', 'M.J. Kang', 'Jasper Anderson']",['English'],7.1,$0
September 5,"['Drama', 'History', 'Thriller']","['Peter Sarsgaard', 'John Magaro', 'Ben Chaplin', 'Leonie Benesch', 'Zinedine Soualem', 'Georgina Rich', 'Corey Johnson', 'Marcus Rutherford', 'Daniel Adeosun', 'Benjamin Walker', 'Ferdinand Dörfler', 'Solomon Mousley', 'Caroline Ebner', 'Daniel Betts', 'Leif Eisenberg', 'Sebastian Jehkul', 'Rony Herman', 'Jeff Book']","['English', 'German', 'Hebrew']",7.1,$0
Better Man,"['Biography', 'Fantasy', 'Music', 'Musical']","['Robbie Williams', 'Jonno Davies', 'Steve Pemberton', 'Alison Steadman', 'Kate Mulvany', 'Frazer Hadfield', 'Damon Herriman', 'Raechelle Banno', 'Tom Budge', 'Jake Simmance', 'Liam Head', 'Chase Vollenweider', 'Jesse Hyde', 'Anthony Hayes', 'John Waters', 'Leo Harvey-Elledge', 'Chris Gun', 'Carter J. Murphy']",['English'],7.6,$110.0M
We Live in Time,"['Drama', 'Romance']","['Andrew Garfield', 'Florence Pugh', 'Grace Delaney', 'Lee Braithwaite', 'Aoife Hinds', 'Adam James', 'Douglas Hodge', 'Amy Morgan', 'Niamh Cusack', 'Lucy Briers', 'Robert Boulter', 'Nikhil Parmar', 'Kerry Godliman', 'Heather Craney', 'Matt Kennard', 'Sam Kennard', 'Saroja-Lily Ratnavel', 'Laura Guest']",['English'],7.0,$0
